project	count	link	description	rank	growing_fast
pdfminer	69,107	http://pypi.python.org/pypi/pdfminer/20110515	PDF parser and analyzer	730th	false
lovely.buildouthttp	69,062	http://pypi.python.org/pypi/lovely.buildouthttp/0.4.7	Buildout extension to add http authentication for find-links and download recipies	731st	false
UPY	68,824	http://pypi.python.org/pypi/UPY/0.14.15	Open-source platform built on top of Django Web Framework, provides useful apps and tools for the most common features to save your time and let you focus just on your specific needs.	732nd	false
dogapi	68,738	http://pypi.python.org/pypi/dogapi/1.2.3	Python bindings to Datadog's API and a user-facing command line tool.	733rd	false
zweb	68,608	http://pypi.python.org/pypi/zweb/0.4309	A web site framework	734th	false
modulegraph	68,595	http://pypi.python.org/pypi/modulegraph/0.10.4	Python module dependency analysis tool	735th	true
Pyccuracy	68,424	http://pypi.python.org/pypi/Pyccuracy/1.2.47	Pyccuracy is a BDD style Acceptance Testing framework	736th	false
pyramid_beaker	68,397	http://pypi.python.org/pypi/pyramid_beaker/0.7	Beaker session factory backend for Pyramid	737th	true
tgext.crud	68,369	http://pypi.python.org/pypi/tgext.crud/0.6.0	Crud Controller Extension for TG2	738th	false
twython	68,088	http://pypi.python.org/pypi/twython/2.9.1	An easy (and up to date) way to access Twitter data with Python.	739th	false
Products.Poi	68,030	http://pypi.python.org/pypi/Products.Poi/2.2.3	Poi: A friendly issue tracker	740th	false
LEPL	67,965	http://pypi.python.org/pypi/LEPL/5.1.3	A Parser Library for Python 2.6+/3+: Recursive Descent; Full Backtracking	741st	false
nose-testconfig	67,919	http://pypi.python.org/pypi/nose-testconfig/0.9	Test Configuration plugin for nosetests.	742nd	false
wstools	67,905	http://pypi.python.org/pypi/wstools/0.4.3	wstools	743rd	false
oslo.config	67,870	http://pypi.python.org/pypi/oslo.config/1.1.0	Oslo configuration API	744th	false
leaderboard	67,499	http://pypi.python.org/pypi/leaderboard/2.3.0	Library for interacting with leaderboards backed by Redis	745th	true
vos	67,217	http://pypi.python.org/pypi/vos/1.8.0	CADC VOSpace Filesystem	746th	false
tgext.admin	67,195	http://pypi.python.org/pypi/tgext.admin/0.5.4	Admin Controller add-on for basic TG identity model.	747th	false
django-autoslug	67,152	http://pypi.python.org/pypi/django-autoslug/1.6.1	An automated slug field for Django.	748th	false
coards	67,137	http://pypi.python.org/pypi/coards/1.0.3.2	Convert COARDS time specification to a datetime object.	749th	false
docopt	67,073	http://pypi.python.org/pypi/docopt/0.6.1	Pythonic option parser, that will make you smile	750th	true
peewee	67,044	http://pypi.python.org/pypi/peewee/2.1.1	a little orm	751st	false
curlwrapper	66,870	http://pypi.python.org/pypi/curlwrapper/0.1.110	curlwrapper (browser interface for curl)	752nd	false
tiddlywebwiki	66,848	http://pypi.python.org/pypi/tiddlywebwiki/0.64.0	A TiddlyWeb plugin to provide a multi-user TiddlyWiki environment.	753rd	false
mozprocess	66,786	http://pypi.python.org/pypi/mozprocess/0.9	Mozilla-authored process handling	754th	false
collective.easyslider	66,745	http://pypi.python.org/pypi/collective.easyslider/1.3.7	The product will allow you to apply an easyslider to any page with the ability to create each slide using a WYSIWYG editor. It also provides a slider view for Folders and Collections.	755th	false
plone.folder	66,680	http://pypi.python.org/pypi/plone.folder/1.0.4	BTree-based folder implementation with order support	756th	false
Plomino	65,952	http://pypi.python.org/pypi/Plomino/1.13.4	Create specific applications in Plone without developing. Created by Makina Corpus.	757th	false
avocado	65,949	http://pypi.python.org/pypi/avocado/2.0.21	A data-driven query engine	758th	false
zope.app.intid	65,765	http://pypi.python.org/pypi/zope.app.intid/3.7.1	ZMI views for Integer Id Utility	759th	false
cuisine	65,654	http://pypi.python.org/pypi/cuisine/0.6.3	Chef-like functionality for Fabric	760th	false
plone.registry	65,636	http://pypi.python.org/pypi/plone.registry/1.0.1	A debconf-like (or about:config-like) registry for storing application settings	761st	false
IPy	65,521	http://pypi.python.org/pypi/IPy/0.81	Class and tools for handling of IPv4 and IPv6 addresses and networks	762nd	true
zope.app.file	65,509	http://pypi.python.org/pypi/zope.app.file/3.6.1	File and Image -- Zope 3 Content Components	763rd	false
bulbs	65,333	http://pypi.python.org/pypi/bulbs/0.3.14-20130504	A Python persistence framework for graph databases that connects to Rexster.	764th	true
coinor.dippy	65,297	http://pypi.python.org/pypi/coinor.dippy/1.5.8	DIP Python Interface	765th	false
django-modeldict	65,157	http://pypi.python.org/pypi/django-modeldict/1.4.1	Stores a model as a dictionary	766th	false
fullhistory	64,970	http://pypi.python.org/pypi/fullhistory/0.3.1	Fullhistory for Django	767th	false
pytools	64,956	http://pypi.python.org/pypi/pytools/2013.1	A collection of tools for Python	768th	false
teamcity-nose	64,814	http://pypi.python.org/pypi/teamcity-nose/1.2	A nose plugin to send test result messages to TeamCity continuous integration server	769th	false
plonetheme.porseleinplaats	64,799	http://pypi.python.org/pypi/plonetheme.porseleinplaats/0.54	An installable theme for Plone 3	770th	false
zope.app.cache	64,779	http://pypi.python.org/pypi/zope.app.cache/3.7.0	Zope Caching Framework	771st	false
django-model-utils	64,698	http://pypi.python.org/pypi/django-model-utils/1.3.1	Django model mixins and utilities	772nd	false
johnny-cache	64,511	http://pypi.python.org/pypi/johnny-cache/1.4	Django caching framework that automatically caches all read queries.	773rd	false
webunit	64,507	http://pypi.python.org/pypi/webunit/1.3.10	Unit test your websites with code that acts like a web browser.	774th	false
w3lib	64,391	http://pypi.python.org/pypi/w3lib/1.2	Library of web-related functions	775th	false
Products.BTreeFolder2	64,369	http://pypi.python.org/pypi/Products.BTreeFolder2/2.13.4	A BTree based implementation for Zope 2's OFS.	776th	false
ella	64,354	http://pypi.python.org/pypi/ella/3.0.9	Ella - Django powered CMS	777th	false
