project	count	link	description	rank	growing_fast
topzootools	52,068	http://pypi.python.org/pypi/topzootools/0.4.2dev-20130414	Processing and conversion tools for Internet Topology Zoo	901st	false
Products.TextIndexNG3	52,067	http://pypi.python.org/pypi/Products.TextIndexNG3/3.4.5.1	Pluggable fulltext indexing solution for Zope 2 and Zope 3	902nd	false
bbfreeze	51,904	http://pypi.python.org/pypi/bbfreeze/1.1.0	create standalone executables from python scripts	903rd	false
django-mailer	51,851	http://pypi.python.org/pypi/django-mailer/0.1.0	A reusable Django app for queuing the sending of email	904th	false
lizard-ui	51,461	http://pypi.python.org/pypi/lizard-ui/4.25.1	Basic user interface for lizard websites	905th	false
Logbook	51,401	http://pypi.python.org/pypi/Logbook/0.4.1	A logging replacement for Python	906th	false
httpie	51,369	http://pypi.python.org/pypi/httpie/0.5.1	HTTPie - cURL for humans.	907th	true
nameparser	51,344	http://pypi.python.org/pypi/nameparser/0.2.7	A simple Python module for parsing human names into their individual components.	908th	false
five.grok	51,316	http://pypi.python.org/pypi/five.grok/1.3.2	Grok-like layer for Zope 2	909th	false
happybase	51,152	http://pypi.python.org/pypi/happybase/0.4	A developer-friendly Python library to interact with Apache HBase	910th	false
awscli	51,086	http://pypi.python.org/pypi/awscli/0.9.3	Universal Command Line Environment for AWS.	911th	false
django-tools	51,010	http://pypi.python.org/pypi/django-tools/0.25.0	miscellaneous tools for django	912th	false
dexy	51,007	http://pypi.python.org/pypi/dexy/0.9.9.2	Document Automation	913th	false
Flask-Babel	50,933	http://pypi.python.org/pypi/Flask-Babel/0.8	Adds i18n/l10n support to Flask applications	914th	false
django-couch-utils	50,875	http://pypi.python.org/pypi/django-couch-utils/1.4.3	Handy tools and helpers for django projects, powered by CouchDB	915th	false
plone.transformchain	50,853	http://pypi.python.org/pypi/plone.transformchain/1.0.3	Hook into repoze.zope2 that allows third party packages to register a sequence of hooks that will be allowed to modify the response before it is returned to the browser	916th	false
lava-dashboard	50,822	http://pypi.python.org/pypi/lava-dashboard/0.29	Validation Dashboard for LAVA Server	917th	false
Products.PolicyHTTPCacheManager	50,573	http://pypi.python.org/pypi/Products.PolicyHTTPCacheManager/1.2	Cache manager which delegates policy to CMF's caching policy manager	918th	false
django-common	50,475	http://pypi.python.org/pypi/django-common/0.1.51	A number of useful django shortcuts and helpers	919th	false
ctypes-snappy	50,441	http://pypi.python.org/pypi/ctypes-snappy/1.03	Python ctypes interface to Google's libsnappy compression.	920th	true
Astropysics	50,376	http://pypi.python.org/pypi/Astropysics/0.1.dev-r1178	Astrophysics libraries for Python	921st	false
deform	50,356	http://pypi.python.org/pypi/deform/0.9.7	Another form generation library	922nd	true
collective.flowplayer	50,342	http://pypi.python.org/pypi/collective.flowplayer/4.0	A simple package using Flowplayer for video content	923rd	false
ssl	50,319	http://pypi.python.org/pypi/ssl/1.16	SSL wrapper for socket objects (2.3, 2.4, 2.5 compatible)	924th	false
pyormish	50,257	http://pypi.python.org/pypi/pyormish/0.9.6	A simple, ultra-lightweight ORM for MySQL, SQLite, and Postgres	925th	false
ZSI	50,234	http://pypi.python.org/pypi/ZSI/2.0-rc3	Zolera SOAP Infrastructure	926th	false
Shake	50,207	http://pypi.python.org/pypi/Shake/1.6.2	A web framework mixed from the best ingredients	927th	false
grokcore.site	50,186	http://pypi.python.org/pypi/grokcore.site/1.6.1	Grok-like configuration for Zope local site and utilities	928th	false
Products.PageCacheManager	50,178	http://pypi.python.org/pypi/Products.PageCacheManager/1.2	Cache rendered pages including headers	929th	false
django-robots	50,106	http://pypi.python.org/pypi/django-robots/0.9.2	Robots exclusion application for Django, complementing Sitemaps.	930th	false
chameleon.core	50,040	http://pypi.python.org/pypi/chameleon.core/1.0.4	Attribute language template compiler	931st	false
arrayterator	50,029	http://pypi.python.org/pypi/arrayterator/1.0.1	Buffered iterator for big arrays.	932nd	false
extras	49,956	http://pypi.python.org/pypi/extras/0.0.3	Useful extra bits for Python - things that shold be in the standard library	933rd	false
PyUtilib	49,875	http://pypi.python.org/pypi/PyUtilib/4.5.3053	PyUtilib: A collection of Python utilities	934th	false
SetupDocs	49,774	http://pypi.python.org/pypi/SetupDocs/1.0.4	setuptools plugin that automates building of docs from ReST source	935th	false
Flask-Assets	49,741	http://pypi.python.org/pypi/Flask-Assets/0.8	Asset management for Flask, to compress and merge CSS and Javascript files.	936th	false
TurboMail	49,687	http://pypi.python.org/pypi/TurboMail/3.0.3	TurboMail is a mail delivery subsystem and MIME message generation framework for Python.	937th	false
XenAPI	49,667	http://pypi.python.org/pypi/XenAPI/1.2	XenAPI SDK, for communication with Citrix XenServer and Xen Cloud Platform.	938th	false
Spawning	49,609	http://pypi.python.org/pypi/Spawning/0.9.7	Spawning is a wsgi server which supports multiple processes, multiple threads, green threads, non-blocking HTTP io, and automatic graceful upgrading of code.	939th	false
Products.CMFBibliographyAT	49,593	http://pypi.python.org/pypi/Products.CMFBibliographyAT/1.1.2	Bibliographic references in Plone	940th	false
botocore	49,396	http://pypi.python.org/pypi/botocore/0.9.2	Low-level, data-driven core of boto 3.	941st	false
PyJWT	49,263	http://pypi.python.org/pypi/PyJWT/0.1.5	JSON Web Token implemtnation in Python	942nd	false
windmill	49,208	http://pypi.python.org/pypi/windmill/1.6	Web testing framework intended for complete automation of user interface testing, with strong test debugging and recording capabilities.	943rd	false
argcomplete	49,176	http://pypi.python.org/pypi/argcomplete/0.5.4	Bash tab completion for argparse	944th	true
logan	49,166	http://pypi.python.org/pypi/logan/0.5.6	Logan is a toolkit for building standalone Django applications.	945th	false
plone.namedfile	49,109	http://pypi.python.org/pypi/plone.namedfile/2.0.1	File types and fields for images, files and blob files with filenames	946th	false
z3c.setuptools_mercurial	49,004	http://pypi.python.org/pypi/z3c.setuptools_mercurial/1.1.1	Mercurial File Finder Plugin for Setuptools	947th	false
AuthKit	48,989	http://pypi.python.org/pypi/AuthKit/0.4.5	An authentication and authorization toolkit for WSGI applications and frameworks	948th	false
plone.subrequest	48,921	http://pypi.python.org/pypi/plone.subrequest/1.6.7	Subrequests for Zope2	949th	false
django-tables2	48,898	http://pypi.python.org/pypi/django-tables2/0.13.0	Table/data-grid framework for Django	950th	false
pyshp	48,752	http://pypi.python.org/pypi/pyshp/1.1.4	Pure Python read/write support for ESRI Shapefile format	951st	true
rope	48,734	http://pypi.python.org/pypi/rope/0.9.4	a python refactoring library...	952nd	false
ibm_db	48,503	http://pypi.python.org/pypi/ibm_db/2.0.2	Python DBI driver for DB2 (LUW, zOS, i5) and IDS	953rd	false
confine-controller	48,356	http://pypi.python.org/pypi/confine-controller/0.8.38a10	Django-based framework for building control servers for computer networking and distributed systems testbeds.	954th	false
pyramid_mailer	48,230	http://pypi.python.org/pypi/pyramid_mailer/0.11	Sendmail package for Pyramid	955th	true
ManifestDestiny	48,167	http://pypi.python.org/pypi/ManifestDestiny/0.5.6	Universal manifests for Mozilla test harnesses	956th	false
blist	48,133	http://pypi.python.org/pypi/blist/1.3.4	a list-like type with better asymptotic performance and similar performance on small lists	957th	true
socketpool	48,026	http://pypi.python.org/pypi/socketpool/0.5.2	Python socket pool	958th	true
autopep8	47,950	http://pypi.python.org/pypi/autopep8/0.9	A tool that automatically formats Python code to conform to the PEP 8 style guide	959th	true
Products.CMFTopic	47,903	http://pypi.python.org/pypi/Products.CMFTopic/2.3.0-beta	Topic product for the Zope Content Management Framework	960th	false
django-profiles	47,880	http://pypi.python.org/pypi/django-profiles/0.2	User-profile application for Django	961st	false
erp5.util	47,813	http://pypi.python.org/pypi/erp5.util/0.4.34	ERP5 related utilities.	962nd	false
grokcore.annotation	47,803	http://pypi.python.org/pypi/grokcore.annotation/1.3	Grok-like configuration for Zope annotations	963rd	false
mwlib.rl	47,682	http://pypi.python.org/pypi/mwlib.rl/0.14.3	generate pdfs from mediawiki markup	964th	false
stuf	47,608	http://pypi.python.org/pypi/stuf/0.9.10	stuf has attributes	965th	true
plone.dexterity	47,539	http://pypi.python.org/pypi/plone.dexterity/2.1.2	Flexible CMF content	966th	false
pelican	47,499	http://pypi.python.org/pypi/pelican/3.2	A tool to generate a static blog, with restructured text (or markdown) input files.	967th	false
zope.modulealias	47,482	http://pypi.python.org/pypi/zope.modulealias/3.4.0	Zope modulealias	968th	false
pinax-theme-bootstrap	47,398	http://pypi.python.org/pypi/pinax-theme-bootstrap/3.0a5	a theme for Pinax based on Twitter's Bootstrap	969th	false
salt	47,366	http://pypi.python.org/pypi/salt/0.15.1	Portable, distributed, remote execution and configuration management system	970th	false
mozInstall	47,218	http://pypi.python.org/pypi/mozInstall/1.5	This is a utility package for installing Mozilla applications on various platforms.	971st	false
django-filebrowser	47,149	http://pypi.python.org/pypi/django-filebrowser/3.5.2	Media-Management with Grappelli	972nd	false
funkload	47,018	http://pypi.python.org/pypi/funkload/1.16.1	Functional and load web tester.	973rd	false
grokproject	46,983	http://pypi.python.org/pypi/grokproject/2.9	Script that creates a Grok project directory, installs Grok, the Grok Toolkit and the Zope Toolkit and sets up a complete skeleton for a new Grok web application.	974th	false
DeliciousAPI	46,968	http://pypi.python.org/pypi/DeliciousAPI/1.6.7	Unofficial Python API for retrieving data from Delicious.com	975th	false
speaklater	46,951	http://pypi.python.org/pypi/speaklater/1.3	implements a lazy string for python useful for use with gettext	976th	false
jldaws	46,918	http://pypi.python.org/pypi/jldaws/0.4.27	Collection of Amazon AWS related scripts	977th	false
Pydap	46,907	http://pypi.python.org/pypi/Pydap/3.1.RC1	Pure Python Opendap/DODS client and server.	978th	false
plone.uuid	46,822	http://pypi.python.org/pypi/plone.uuid/1.0.3	UUIDs for content items	979th	false
five.globalrequest	46,735	http://pypi.python.org/pypi/five.globalrequest/1.0	Zope 2 integration for zope.globalrequest	980th	false
bambu-tools	46,587	http://pypi.python.org/pypi/bambu-tools/2.9.4.4	Tools for Django webapps	981st	false
facepy	46,517	http://pypi.python.org/pypi/facepy/0.8.4	Facepy makes it absurdly easy to interact with Facebook APIs	982nd	false
slapos.toolbox	46,467	http://pypi.python.org/pypi/slapos.toolbox/0.34.0	SlapOS toolbox.	983rd	false
Distutils2	46,375	http://pypi.python.org/pypi/Distutils2/1.0a4	Python Packaging Library	984th	false
ztfy.blog	46,371	http://pypi.python.org/pypi/ztfy.blog/0.5.5	ZTFY blog handling package	985th	false
Batman	46,314	http://pypi.python.org/pypi/Batman/0.5.0	A deployment toolbelt	986th	false
zope.app.catalog	46,313	http://pypi.python.org/pypi/zope.app.catalog/3.8.1	Management pages for Zope Catalog	987th	false
collective.mediaShow	46,272	http://pypi.python.org/pypi/collective.mediaShow/1.26	A flexible slideshow that can show any kind of media or Plone content	988th	false
pynliner	46,234	http://pypi.python.org/pypi/pynliner/0.5.0	Python CSS-to-inline-styles conversion tool for HTML using BeautifulSoup and cssutils	989th	false
plone.formwidget.namedfile	46,234	http://pypi.python.org/pypi/plone.formwidget.namedfile/1.0.5	Image widget for z3c.form and Plone	990th	false
uwosh.pfg.d2c	46,135	http://pypi.python.org/pypi/uwosh.pfg.d2c/2.3.0b4	A PloneFormGen adapter that will save the data from a form to an actual content type. This way you can still use permissions, workflows, etc on the form data.	991st	false
gondor	46,124	http://pypi.python.org/pypi/gondor/1.2.4	official gondor.io command line client	992nd	true
zc.zope3recipes	45,933	http://pypi.python.org/pypi/zc.zope3recipes/0.18.0	ZC Buildout recipe for defining Zope 3 applications	993rd	false
zc.catalog	45,861	http://pypi.python.org/pypi/zc.catalog/1.5.1	Extensions to the Zope 3 Catalog	994th	false
itsdangerous	45,819	http://pypi.python.org/pypi/itsdangerous/0.18	Various helpers to pass trusted data to untrusted environments.	995th	false
testfixtures	45,779	http://pypi.python.org/pypi/testfixtures/3.0.0	A collection of helpers and mock objects for unit tests and doc tests.	996th	false
PyGithub	45,753	http://pypi.python.org/pypi/PyGithub/1.14.2	Use the full Github API v3	997th	true
SymbolType	45,709	http://pypi.python.org/pypi/SymbolType/1.0	Simple "symbol" type, useful for enumerations or sentinels	998th	false
gozerbot	45,666	http://pypi.python.org/pypi/gozerbot/1.0.1	the irc bot and xmpp bot in one	999th	false
zope.globalrequest	45,550	http://pypi.python.org/pypi/zope.globalrequest/1.0	Global way of retrieving the currently active request.	1000th	false
